NAME                                         VERSION                             TYPE      
git.aventer.biz/AVENTER/go-logrus-formatter  v0.5.2                              go-module  
git.aventer.biz/AVENTER/util                 v0.0.0-20200619090833-b02d1129737c  go-module  
github.com/AVENTER-UG/go-logrus-formatter    v0.5.4                              go-module  
github.com/AVENTER-UG/util                   v0.3.0                              go-module  
github.com/mattn/go-colorable                v0.1.12                             go-module  
github.com/mattn/go-colorable                v0.1.7                              go-module  
github.com/mattn/go-isatty                   v0.0.12                             go-module  
github.com/mattn/go-isatty                   v0.0.14                             go-module  
github.com/mgutz/ansi                        v0.0.0-20200706080929-d51e80ef957d  go-module  
github.com/onsi/ginkgo                       v1.16.4                             go-module  
github.com/onsi/gomega                       v1.16.0                             go-module  
github.com/russross/blackfriday              v1.5.2                              go-module  
github.com/russross/blackfriday              v1.6.0                              go-module  
github.com/sirupsen/logrus                   v1.6.0                              go-module  
github.com/sirupsen/logrus                   v1.9.0                              go-module  
github.com/stretchr/testify                  v1.7.0                              go-module  
go-proxy                                     (devel)                             go-module  
golang.org/x/crypto                          v0.0.0-20200728195943-123391ffb6de  go-module  
golang.org/x/crypto                          v0.0.0-20220722155217-630584e8d5aa  go-module  
golang.org/x/sys                             v0.0.0-20200223170610-d5e6a3e2c0ae  go-module  
golang.org/x/sys                             v0.0.0-20220811171246-fbc7d0a398ab  go-module  
golang.org/x/term                            v0.0.0-20220722155259-a9ba230a4035  go-module  
